rank_by_effective_price,year,model,trim,exterior_color,interior,vin,stock_number,dealer,distance_miles_approx,status,msrp_plus_dph,dealer_discount,mandatory_dealer_fee,effective_advertised_price,estimated_days_listed,days_listed_confidence,url
1,2026,RX 350h,Premium,Nori Green Pearl,Palomino Nuluxe® and Ash Bamboo Trim,2T2BBMCA5TC115682,SLL260293,Stevinson Lexus of Lakewood,13,In Transit,,,799,61628,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-e497f43aac18169254c6a372155ace7f.htm
2,2026,RX 350h,Premium,Nori Green Pearl,Black Nuluxe® and Black Open-Pore Wood Trim,2T2BBMCA6TC142292,SLLTC142292,Stevinson Lexus of Lakewood,13,In Stock,,,799,61734,14,Low,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-6b27b43eac1808e420067eb1b9e94b4b.htm
3,2026,RX 350h,Premium,Eminent White Pearl,Palomino Nuluxe® and Ash Bamboo Trim,2T2BBMCA4TC116709,SLL260324,Stevinson Lexus of Lakewood,13,In Transit,,,799,61953,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-f4502ef4ac183c25409fa59b1e8da85b.htm
4,2026,RX 350h,Premium,Iridium,Black Nuluxe® and Black Open-Pore Wood Trim,2T2BBMCA8TC115773,SLL260294,Stevinson Lexus of Lakewood,13,In Transit,,,799,61953,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-e497f5b5ac18581a9abd1ec109031b69.htm
5,2026,RX 350h,Premium,Eminent White Pearl,Palomino Nuluxe® and Ash Bamboo Trim,2T2BBMCA9TC116298,SLL260325,Stevinson Lexus of Lakewood,13,In Transit,,,799,61953,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-ea031b9eac180c225c7cfa94d85bcb67.htm
6,2026,RX 350h,Premium,Eminent White Pearl,Black Nuluxe® and Black Open-Pore Wood Trim,2T2BBMCA5TC144700,SLLTC144700,Stevinson Lexus of Lakewood,13,In Stock,,,799,62084,,Unknown,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-c20ee38aac1828bf091d870153ecfc3e.htm
7,2026,RX 350h,Premium,Eminent White Pearl,Palomino Nuluxe® and Ash Bamboo Trim,2T2BBMCA7TC115408,SLL260279,Stevinson Lexus of Lakewood,13,In Transit,,,799,62278,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-df7f734fac184088e8b0dbcef80164dc.htm
8,2026,RX 350h,Premium,Nori Green Pearl,Black NuLuxe and Black Open-Pore Wood Trim,2T2BBMCA5TC147838,LC27D731,Lexus of Colorado Springs,72,In Transit,62865,0,0,62865,,N/A,https://www.lexusofcoloradosprings.com/inventory/new-2026-lexus-rx-hybrid-rx-350h-premium-awd-awd-rx-350h-prem-awd-2t2bbmca5tc147838/
9,2026,RX 350h,Premium,Nori Green Pearl,Black Nuluxe® and Black Open-Pore Wood Trim,2T2BBMCA5TC21B686,SLL260788,Stevinson Lexus of Lakewood,13,In Transit,,,799,62984,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-9cb163d3ac185e3b261a30382cd853d1.htm
10,2026,RX 350h,Premium,Eminent White Pearl,Black NuLuxe and Black Open-Pore Wood trim,2T2BBMCA6TC145449,TC145449,Lexus of Greenwood Village,12,In Stock,63319,1000,695,63014,,Unknown,https://www.lexusofgreenwoodvillage.com/inventory/new-2026-lexus-rx-350h-premium-awd-4d-sport-utility-2t2bbmca6tc145449/
